"video","experiment_folder","file","bytes","note"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_analysis_manifest.csv","0","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_calibration_samples.csv","754","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_contact.png","504158","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_crest_distances.csv","2820","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_fps.txt","13","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0000.png","523865","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0012.png","543322","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0024.png","545095","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0036.png","551625","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0048.png","547646","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0060.png","559471","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0072.png","559589","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0084.png","554396","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_frame_0097.png","452878","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_kymograph.png","463364","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_measured_frame_0039.png","560547","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_measured_frame_0078.png","550411","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_measured_frame_0096.png","489756","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_ruler_check_precise.png","169363","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_surface_lines.npy","1003648","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_wave_crest_summary.csv","523","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_xt_direction_filtered.png","695091","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\8_5_xt_directional_summary.csv","607","generated/updated in this folder"
"eb84ad233085c38dae1687a33b4dc52f.mp4","8.5","D:\虚拟C盘\5.6实验\8.5\水波分析结果\README_结果说明.md","524","generated/updated in this folder"
